player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Adrian",8J9-5tmaXr,2025-08-13T21:51:41.275Z,2025-08-13T22:48:18.255Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-13T21:30:30.961Z,2025-08-13T23:19:48.351Z,2000,0,0,-2000
"Bendik",sXG204kdid,2025-08-13T21:15:44.971Z,,2000,,3828,1828
"Simen",43RLVYD2U4,2025-08-13T21:14:23.608Z,,2000,,5201,3201
"mag",Qd4daMbTQ4,2025-08-13T21:12:19.867Z,2025-08-13T22:20:36.750Z,2000,2018,0,18
"Oli",oHa7Zs_d9z,2025-08-13T21:05:07.484Z,2025-08-13T21:52:59.413Z,2000,0,0,-2000
"Oli",oHa7Zs_d9z,2025-08-13T20:44:08.858Z,2025-08-13T21:04:03.352Z,2000,0,0,-2000
"Oli",oHa7Zs_d9z,2025-08-13T20:32:26.862Z,2025-08-13T20:42:40.493Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-13T20:32:26.874Z,2025-08-13T21:29:32.943Z,2000,0,0,-2000
"Gøss🙂‍↔️",NHwnhDTCDx,2025-08-13T20:32:26.877Z,2025-08-13T23:15:44.832Z,2000,5485,0,3485
"Krautern",ehyqeI4GS7,2025-08-13T20:32:26.869Z,,2000,,5468,3468
