player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Comeback kid",BRdibe6rnP,2025-08-05T19:23:20.901Z,2025-08-05T19:47:00.845Z,2000,0,0,-2000
"Ulrik",BRdibe6rnP,2025-08-05T18:54:05.721Z,2025-08-05T19:05:14.729Z,2000,0,0,-2000
"Simen",43RLVYD2U4,2025-08-05T18:47:59.914Z,2025-08-05T20:01:22.369Z,4215,0,0,-4215
"Simen (ny)",ThUKmpNBGR,2025-08-05T18:42:13.438Z,2025-08-05T18:45:48.078Z,4285,4255,0,-30
"Krautern",ehyqeI4GS7,2025-08-05T18:15:53.365Z,,2000,,4418,2418
"Lama",yw64lPIRGk,2025-08-05T17:59:07.212Z,,2000,,3361,1361
"Ulrik",BRdibe6rnP,2025-08-05T17:42:07.988Z,2025-08-05T18:52:02.130Z,2000,0,0,-2000
"Simen",D8UFPHj-I6,2025-08-05T17:42:07.991Z,2025-08-05T18:42:13.435Z,2000,4238,0,2238
"Little Nitter",BxfYp6OeUJ,2025-08-05T17:42:07.995Z,2025-08-05T20:04:42.067Z,2000,9228,0,7228
"Krautern",ehyqeI4GS7,2025-08-05T17:42:07.984Z,2025-08-05T18:14:12.207Z,3000,0,0,-3000
