player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",dfrMVnW4nY,2025-08-15T22:35:26.001Z,,2000,,8418,6418
"Gøss",yw64lPIRGk,2025-08-15T22:04:22.527Z,,2285,4000,4598,6313
"Krautern",ehyqeI4GS7,2025-08-15T22:02:09.450Z,,2000,,5147,3147
"Krautern",ehyqeI4GS7,2025-08-15T21:43:05.845Z,2025-08-15T21:51:16.269Z,2000,0,0,-2000
"Gøss 🙂‍↔️",NHwnhDTCDx,2025-08-15T21:33:38.401Z,2025-08-15T22:05:48.652Z,4000,2285,0,-1715
"Simen",43RLVYD2U4,2025-08-15T21:09:15.303Z,2025-08-16T01:11:24.988Z,2000,0,0,-2000
"Gøss 🙂‍↔️",NHwnhDTCDx,2025-08-15T21:09:15.306Z,2025-08-15T21:31:14.984Z,4000,0,0,-4000
"greenguy",dfrMVnW4nY,2025-08-15T21:05:19.749Z,2025-08-15T22:33:52.792Z,2000,0,0,-2000
"Slippy nitty",2MB8pQo5Kw,2025-08-15T21:05:19.756Z,2025-08-15T22:55:25.394Z,2000,1595,0,-405
"mag",Qd4daMbTQ4,2025-08-15T21:05:19.752Z,2025-08-15T22:16:05.573Z,2000,4242,0,2242
"Bendik",oFplHnqTvn,2025-08-15T21:05:19.754Z,2025-08-16T01:19:24.344Z,4000,0,0,-4000
"Simen",43RLVYD2U4,2025-08-15T21:05:19.744Z,2025-08-15T21:08:16.379Z,2000,0,0,-2000
