player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"🍠",oHa7Zs_d9z,2025-07-27T20:21:23.598Z,2025-07-27T22:09:25.148Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-27T19:32:54.979Z,2025-07-27T20:20:19.010Z,2000,0,0,-2000
"Simen (ny)",wLc3YwHZdZ,2025-07-27T19:26:46.301Z,,2597,,5832,3235
"🍠",oHa7Zs_d9z,2025-07-27T19:17:34.528Z,2025-07-27T19:31:58.379Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-27T18:48:09.133Z,2025-07-27T19:17:06.204Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-27T18:44:47.696Z,2025-07-27T18:47:07.283Z,2000,0,0,-2000
"Krautern2",0kZMjhB-dW,2025-07-27T18:16:23.679Z,2025-07-27T21:28:43.605Z,2000,5390,0,3390
"Møllzy",C-cWDKRhWw,2025-07-27T18:10:56.864Z,2025-07-27T18:20:35.674Z,2000,0,0,-2000
"Ulrik",BRdibe6rnP,2025-07-27T18:10:56.871Z,2025-07-27T21:15:04.582Z,2000,0,0,-2000
"Simen",ohEnh6bDpM,2025-07-27T18:10:56.867Z,2025-07-27T19:26:46.295Z,2000,2597,0,597
"Lama",NHwnhDTCDx,2025-07-27T18:10:56.874Z,,2000,,8778,6778
