player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Bendik",oFplHnqTvn,2025-08-09T23:40:58.454Z,,3088,,4229,1141
"Bendik",oFplHnqTvn,2025-08-09T22:24:25.162Z,2025-08-09T23:16:30.721Z,2000,4426,0,2426
"Simen",43RLVYD2U4,2025-08-09T22:00:58.787Z,,2000,,21297,19297
"Bendik",oFplHnqTvn,2025-08-09T21:15:48.865Z,2025-08-09T22:23:41.850Z,4750,1940,0,-2810
"Oli",Jp1Cti1Oy3,2025-08-09T20:38:54.802Z,,2000,,1331,-669
"Simen",43RLVYD2U4,2025-08-09T20:32:50.482Z,2025-08-09T21:59:51.187Z,2000,0,0,-2000
"Bendik",oFplHnqTvn,2025-08-09T20:27:54.448Z,2025-08-09T20:50:25.557Z,2000,2775,0,775
"Krautern",0kZMjhB-dW,2025-08-09T19:39:01.633Z,2025-08-09T19:41:36.259Z,2000,0,0,-2000
"Krautern",0kZMjhB-dW,2025-08-09T19:33:45.944Z,2025-08-09T19:36:52.925Z,2000,0,0,-2000
"Bendik",oFplHnqTvn,2025-08-09T19:31:15.405Z,2025-08-09T20:27:20.831Z,2733,0,0,-2733
"Oli",Jp1Cti1Oy3,2025-08-09T19:28:12.810Z,2025-08-09T20:38:28.583Z,2000,0,0,-2000
"Krautern",0kZMjhB-dW,2025-08-09T18:46:02.792Z,2025-08-09T19:31:15.401Z,2000,0,0,-2000
"Mag",fnUqhsK6mA,2025-08-09T18:43:14.308Z,2025-08-09T18:44:50.028Z,2000,0,0,-2000
"Mag",fnUqhsK6mA,2025-08-09T18:31:37.958Z,2025-08-09T18:42:02.365Z,2000,0,0,-2000
"Ole",nfTAzRE_ZR,2025-08-09T18:21:38.896Z,2025-08-10T01:04:38.925Z,2000,6573,0,4573
"Oli",Jp1Cti1Oy3,2025-08-09T18:13:36.630Z,2025-08-09T19:27:40.493Z,2000,0,0,-2000
"Harald",UVpau-VhBO,2025-08-09T18:13:36.627Z,2025-08-09T18:46:02.786Z,2000,0,0,-2000
"Mag",fnUqhsK6mA,2025-08-09T18:13:36.623Z,2025-08-09T18:29:03.435Z,2000,0,0,-2000
"Simen",43RLVYD2U4,2025-08-09T18:13:36.618Z,2025-08-09T20:30:54.683Z,2000,0,0,-2000
