player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Simen",wLc3YwHZdZ,,,2000,,2000,0
"Simen",wLc3YwHZdZ,2025-06-25T22:44:41.876Z,2025-06-25T23:29:15.462Z,4000,0,0,-4000
"Tarriern",BRdibe6rnP,2025-06-25T20:53:45.260Z,,2000,,6466,4466
"Møllzy",C-cWDKRhWw,2025-06-25T20:47:03.224Z,2025-06-25T21:24:38.978Z,2000,1982,0,-18
"Tarriern",BRdibe6rnP,2025-06-25T20:41:46.141Z,2025-06-25T20:50:58.526Z,2000,0,0,-2000
"Gaute",51fKJm0-pJ,2025-06-25T20:12:40.990Z,2025-06-25T22:22:28.876Z,2000,0,0,-2000
"Møllzy",C-cWDKRhWw,2025-06-25T20:06:45.973Z,2025-06-25T20:44:11.060Z,2000,0,0,-2000
"Gaute",51fKJm0-pJ,2025-06-25T19:40:36.192Z,2025-06-25T20:10:34.970Z,2000,0,0,-2000
"YungCuck",EVlahUHEtM,2025-06-25T19:34:01.253Z,,2000,,17520,15520
"Bendik",jYM-AUdVwV,2025-06-25T19:28:12.722Z,,2000,,1777,-223
"Lama2",NHwnhDTCDx,2025-06-25T19:19:11.682Z,2025-06-25T19:31:13.237Z,2000,2255,0,255
"Lama",Z7OHWG8bCa,,2025-06-25T19:18:03.157Z,2000,2000,0,0
"Møllzy",C-cWDKRhWw,2025-06-25T19:19:11.686Z,2025-06-25T20:05:31.671Z,2000,0,0,-2000
"Simen Ødegård",wLc3YwHZdZ,2025-06-25T19:19:11.692Z,2025-06-25T22:36:05.233Z,4000,0,0,-4000
"Tarriern",BRdibe6rnP,2025-06-25T19:19:11.697Z,2025-06-25T20:41:07.337Z,2000,0,0,-2000
